Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
179,Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,2,0,0,4,0,2.9,2.9,1.3,4.1,5a7301ae
180,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,24,21,1855,20.6,0,1,0,0,0,2,0,1.0,1.0,1.7,2.7,df10e27c
181,Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,21,1877,20.9,8,8,7,1,1,1,0,10.8,10.0,6.0,16.0,b66315ae
182,N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26,21,1773,19.7,2,4,2,0,0,2,0,2.3,2.3,2.5,4.8,b9fbae28
183,Martinelli,br BRA,MFFW,Arsenal,20,2001,29,21,1860,20.7,6,6,5,1,1,3,1,8.3,7.6,4.7,12.3,48a5a5d6
184,Ben Mee,eng ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,0,0,3,0,2.5,2.5,1.2,3.8,8df7a2fb
185,Cristian Romero,ar ARG,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.6,0.6,0.3,0.9,a3d94a58
186,Ismaila Sarr,sn SEN,MFFW,Watford,23,1998,22,21,1861,20.7,5,2,5,0,1,2,0,5.7,4.9,3.1,7.9,bfdb33aa
187,Emile Smith Rowe,eng ENG,MF,Arsenal,21,2000,33,21,1921,21.3,10,2,10,0,0,1,0,6.5,6.5,2.3,8.7,17695062
188,Luke Thomas,eng ENG,DF,Leicester City,20,2001,22,21,1912,21.2,0,1,0,0,0,2,0,0.2,0.2,1.6,1.8,fc027d02
189,Rayan Aït Nouri,fr FRA,DFMF,Wolves,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.8,0.8,1.4,2.2,9b398aea
190,Tom Cleverley,eng ENG,MF,Watford,31,1989,28,20,1616,18.0,0,2,0,0,0,2,0,0.9,0.9,2.2,3.1,6cdd8245
191,Jack Cork,eng ENG,MF,Burnley,32,1989,20,20,1670,18.6,1,0,1,0,0,4,0,0.8,0.8,0.4,1.2,74e12f1e
192,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,20,1857,20.6,8,4,8,0,0,1,0,10.3,10.3,5.1,15.5,819b3158
193,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,30,20,1816,20.2,5,1,5,0,0,2,0,4.6,4.6,1.6,6.2,169fd162
194,Alexandre Lacazette,fr FRA,FW,Arsenal,30,1991,30,20,1782,19.8,4,7,2,2,3,0,0,9.2,6.8,3.5,10.3,9dbb75ca
195,Matthew Lowton,eng ENG,DF,Burnley,32,1989,25,20,1772,19.7,1,2,1,0,0,3,1,0.7,0.7,2.6,3.3,9a9c05db
196,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,1.0,1.0,2.2,3.2,8996350d
197,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,2.1,2.1,4.0,6.1,ab651565
198,Jadon Sancho,eng ENG,MFFW,Manchester Utd,21,2000,29,20,1900,21.1,3,3,3,0,0,0,0,4.0,4.0,4.9,8.9,dbf053da
199,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,32,20,1851,20.6,4,1,4,0,0,1,0,3.9,3.9,2.1,6.0,3312f911
200,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,21,20,1679,18.7,0,1,0,0,0,2,0,0.8,0.8,1.2,1.9,b3af9be1
201,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,22,20,1831,20.3,1,1,1,0,0,0,0,0.9,0.9,0.2,1.1,9f8e9423
202,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,25,20,1806,20.1,15,2,15,0,0,2,0,10.3,10.3,1.9,12.2,45963054
203,Kyle Walker,eng ENG,DF,Manchester City,31,1990,20,20,1755,19.5,0,2,0,0,0,1,0,0.4,0.4,1.5,2.0,86dd77d1
204,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,20,20,1793,19.9,0,0,0,0,0,2,0,0.5,0.5,1.0,1.6,9e525177
205,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,30,19,1716,19.1,1,0,1,0,0,2,0,2.5,2.5,1.3,3.8,862a1c15
206,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,24,19,1801,20.0,0,0,0,0,0,4,0,0.7,0.7,1.3,2.0,d9565625
207,Junior Firpo,es ESP,DFMF,Leeds United,24,1996,24,19,1711,19.0,0,2,0,0,0,11,0,1.1,1.1,2.5,3.5,24f59bb2
208,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,c3e39f12
209,Mathias Jensen,dk DEN,MF,Brentford,25,1996,31,19,1601,17.8,0,1,0,0,0,0,0,2.9,2.9,3.7,6.5,0f134faf
210,Manuel Lanzini,ar ARG,MF,West Ham,28,1993,30,19,1786,19.8,5,3,2,3,3,2,0,3.8,1.4,2.7,4.1,26f6dca8
211,Jakub Moder,pl POL,MF,Brighton,22,1999,28,19,1701,18.9,0,3,0,0,0,1,0,3.1,3.1,2.5,5.6,f230bc30
212,Lucas Moura,br BRA,MFFW,Tottenham,28,1992,34,19,1775,19.7,2,6,2,0,0,4,0,3.9,3.9,4.6,8.6,2b622f01
213,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,1,0,0,2,0,0.5,0.5,1.6,2.0,24fae784
214,Samir Santos,br BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,92b4758e
215,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,20,19,1601,17.8,0,3,0,0,0,8,0,0.3,0.3,4.1,4.4,9c94165b
