Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
324,Jonjoe Kenny,eng ENG,DF,Everton,24,1997,15,11,1018,11.3,0,1,0,0,0,3,1,0.3,0.3,0.9,1.2,099e666f
325,Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,11,990,11.0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,5ed9b537
326,Yerry Mina,co COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,6d5701f2
327,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.4,0.4,0.0,0.4,74b2cd7e
328,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,0.7,0.7,0.5,1.3,eaeca114
329,Willy Boly,ci CIV,DF,Wolves,30,1991,10,10,900,10.0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,a4ac4b8f
330,Jonny Castro,es ESP,DF,Wolves,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,1.0,1.0,1.5,2.5,e28868f3
331,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,0,0,0,1,0,0.6,0.6,1.3,1.9,11ff3d56
332,Issa Diop,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,0,0,0,0,0,0.2,0.2,0.3,0.4,a712ca2b
333,Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,1,0,0,1,0,1.4,1.4,3.8,5.2,980522ec
334,Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,10,964,10.7,2,1,2,0,0,1,0,1.8,1.8,1.0,2.9,101da2b5
335,Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11.0,5,4,5,0,0,3,0,5.1,5.1,2.0,7.2,4c370d81
336,Curtis Jones,eng ENG,MF,Liverpool,20,2001,15,10,851,9.5,1,1,1,0,0,0,0,1.2,1.2,0.9,2.1,4fb9c88f
337,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,de5b5570
338,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,11,10,735,8.2,0,0,0,0,0,4,1,0.6,0.6,0.3,0.9,e9971f2d
339,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,14,10,804,8.9,0,1,0,0,0,2,0,0.8,0.8,0.8,1.6,f1e94cd6
340,Adama Traoré,es ESP,FWMF,Wolves,25,1996,20,10,1067,11.9,1,0,1,0,0,0,0,2.7,2.7,1.8,4.5,9a28eba4
341,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,24,10,1250,13.9,0,2,0,0,0,2,0,0.6,0.6,1.0,1.5,be927d03
342,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,15,10,1047,11.6,0,4,0,0,0,0,0,0.6,0.6,2.5,3.1,51cf8561
343,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,9,910,10.1,1,0,1,0,0,2,1,1.0,1.0,0.8,1.7,2886c9b5
344,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,3,0,0.1,0.1,0.6,0.6,30db8574
345,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,0,0,1,0,0.2,0.2,0.1,0.4,dc6f5bdd
346,Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,2,0,0,0,0,2.7,2.7,2.5,5.1,d557d734
